,Job_Title,Key_Skills,Location1,Functional_Area_merged,Job_Experience,Job_Salary
3, Technical Support, Technical Support,Mumbai,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
6, Sales- Fresher-for Leading Property Consultant," channel partners, real estate, negotiation, property, Residential Sales",Bengaluru,"Retail Sales,Sales , Retail , Business Development,Real Estate, Property",1 - 5,1 - 5
14," Looking Facebook ,social Media Manager For our Digital Marketing Ageny"," digital marketing, seo, social media marketing, content marketing, email marketing, sem, google analytics, campaign management, facebook, media management",Gurgaon,"Online,Digital Marketing,Marketing , Advertising , MR , PR , Media Planning,Advertising, PR, MR, Event Management",1 - 5,1 - 5
21," Business Development , Corporate Sales"," lead generation, business development, corporate sales",Delhi NCR,"Retail Sales,Sales , Retail , Business Development,IT-Software, Software Services",1 - 5,1 - 5
23, QA Executive, QA Executive,Hyderabad,"QA,Testing,Documentation,IT Software - QA & Testing,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
26," Opening For Articulate tool Developer - Articulate , Captivate)chennai", Articulate Storyline,Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,Animation, Gaming",1 - 5,1 - 5
43, Hiring For Record To Report," fixed assets, accounts payable, record to report, general accounting, general ledger","Gurgaon,Noida","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
50," International BPO , Non Voice Process , Rotational Shift , Ahmedabad"," cca, bpo, csr, international bpo, customer service, outbound process, customer care, tourism, customer support, fresher, voice process, inbound process, cse, bpo fresher, voice support, hotel, travel",Ahmedabad,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
78," Night Shift - Non Voice , Web Chat - BPO"," international bpo, bpo, kpo, web chat, non voice process, e mail, international call center, customer service representative, cse, interpersonal skills, ites, uk shift, customer service, e - commerce, customer care, customer support, bpo fresher","Ahmedabad,Gandhinagar,Vadodara","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
103," Project Executive,coordinator"," Project Administration, Coordination",Delhi,"Sales Support,Sales , Retail , Business Development,Industrial Products, Heavy Machinery",1 - 5,1 - 5
121," SEO Expert, Digital Marketing Gurgaon"," digital marketing, seo specialist, advertising agency, online marketing, seo, seo expert, facebook marketing",Gurgaon,"Online,Digital Marketing,Marketing , Advertising , MR , PR , Media Planning,Advertising, PR, MR, Event Management",1 - 5,1 - 5
125," Opening For the post of Mr,territory Business Manager in An Pharma"," marketing officer, pharma sales, Marketing Representative, marketing executive, pharma marketing, sales officer, sales representative, business development executive, Fresher, trainee, sales executive","Delhi NCR,Delhi","Retail Sales,Sales , Retail , Business Development,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
169, Inbound Phone Banking Voice Process - Leading Bank - Noida," customer service, customer care, team, communication, bpo, call center, inbound, voice, backend, non voice, telecalling, cse, cro, cce, data entry, back office, voice process, domestic bpo, fresher, trainee, Telemarketing, Outbound, sales, hardware, networking",Noida,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,Fresher, Trainee, Entry Level",1 - 5,1 - 5
175, Merchandiser," Merchandising, Buyer Activities, Follow Ups, Vendor, purchase, vendor development, tracking","Thane,Mumbai,NaviMumbai","Production,Merchandising,Business Development,Export , Import , Merchandising,Textiles, Garments, Accessories",1 - 5,1 - 5
182, Corporate-Day Care Manager.," Staff Training, Day Care, Recruitment",Pune,"Teachers,Teaching , Education , Training , Counselling,Education, Teaching, Training",1 - 5,1 - 5
193, International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc," Bpo Voice, Voice Process, International BPO","Mumbai,MumbaiSuburbs,NaviMumbai,Thane,Vasai","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
222," Placement Officer,"," HR, Human Resource Management, Placement Coordination, recruitment executive, recruitment officer",Pune,"Other,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
224,Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore,Test Engineering,Bengaluru,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software , Software Services",1 - 5,1 - 5
227, Senior Java Developer- Urgently Required by Mumbai IT Company," java, mongodb, Hibernate, spring, jms",Mumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
232, Restaurant Cashier," Cash Handling, Cashier Activities, Day Book, Cashier, Restaurant, CSAT",Delhi NCR,"Front Office,Customer Care,Hotels , Restaurants,Travel , Hotels , Restaurants , Airlines , Railways",1 - 5,1 - 5
236, Production Manager," Production Management, production control, production planning, Production Manager, Planning, Production Support, Organizing","Chandigarh,Panchkula","Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Internet, Ecommerce",1 - 5,1 - 5
252," Hiring for Domestic, International Processes.contact the HR Asap"," fresher, icse, inbound process, outbound, international bpo, uk process, bcom, communication skills, back office, cbse, web chat, chat process, Aviation, Guest Relations, Public Speaking, PR",Kolkata,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
260, Immidate Opening for Voice & Accent Trainer @ Vee Technologies," accent, auditing, soft skills, training needs, customer service, process compliance",Bengaluru,"Training,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
261," Walk- in , Hdfc Life , We are Hiring Freshers:5th till 20th Aug@ Delhi"," Sales, Fresher, Marketing","Delhi NCR,Agra,Aligarh,Bareilly,Faridabad,Ghaziabad,Meerut,Moradabad,Muzaffarpur","Retail Sales,Sales , Retail , Business Development,Insurance",1 - 5,1 - 5
279, Great Opportunity To join top MNCs in Kolkata! Grab them While it last," PR, international bpo, chat process, Aviation, back office, web chat, Guest Relations, Public Speaking, bcom, fresher, inbound process, outbound, uk process, icse, communication skills, cbse",Kolkata,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
281, Sales Engineer, Sales Engineering,Bengaluru,"Retail Sales,Sales , Retail , Business Development,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
286, Urgent Opening For Field Recruiter ," hiring, HRIS, procurement, HR, sourcing, Recruitment, staffing",Delhi NCR,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
288, Urgent Openings For Pharma Freshers," pharmaceutical, medical, Pharma, medical billing, healthcare",Pune,"Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
290,"Mechanical Maintenance – Btech , Diploma","mechanical operation,preventive maintenance,mechanical,engineeringbreak down maintenance,mechanical maintenance",Hyderabad,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food,animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers,Other,FMCG , Foods , Beverage",1 - 5,1 - 5
296, MS SQL Developer : 0 - 2 Years (only MALE Candidates)," SSRS, SQL Server, Stored Procedures, SQL Development, MS SQL",Hyderabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
328, Opening For Fresher," BPO, any graduate, Voice Process, Voice Support",Chennai,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
